"id", "title", "author", "category", "grade", "publisher", "edition", "price"
"1409","HRVATSKI JEZIK 3 : udžbenik za 3. razred četverogodišnjih strukovnih škola","Snježana Zrinjan","udžbenik","3.","ALFA","","68"
"1408","HRVATSKI JEZIK 3 : radna bilježnica uz udžbenik za 3. razred četverogodišnjih strukovnih škola","Snježana Zrinjan","radna bilježnica","3.","ALFA","","33"
"2134","HRVATSKI JEZIK 3 : udžbenik za 3. razred četverogodišnjih strukovnih škola","Marica Kurtak","udžbenik","3.","ŠK","","76"
"2133","HRVATSKI JEZIK 3 : radna bilježnica za 3. razred četverogodišnjih strukovnih škola","Marica Kurtak","radna bilježnica","3.","ŠK","","39"
"1412","HRVATSKI JEZIK 4 : udžbenik za 4. razred četverogodišnjih strukovnih škola","Snježana Zrinjan","udžbenik","4.","ALFA","","68"
"1411","HRVATSKI JEZIK 4 : radna bilježnica uz udžbenik za 4. razred četverogodišnjih strukovnih škola","Snježana Zrinjan","radna bilježnica","4.","ALFA","","33"
"2136","HRVATSKI JEZIK 4 : udžbenik za 4. razred četverogodišnjih strukovnih škola","Marina Čubrić","udžbenik","4.","ŠK","","76"
"2135","HRVATSKI JEZIK 4 : radna bilježnica za 4. razred četverogodišnjih strukovnih škola","Marina Čubrić","radna bilježnica","4.","ŠK","","39"
"4454","HRVATSKI JEZIK (AZ) : udžbenik iz hrvatskoga jezika za prvi razred četverogodišnjih strukovnih škola","Snježana Zrinjan","udžbenik","1.","ALFA","Novo","110"
"4455","HRVATSKI JEZIK (BUKI) : udžbenik iz hrvatskoga jezika za drugi razred četverogodišnjih strukovnih škola","Snježana Zrinjan, Nataša Sajko","udžbenik","2.","ALFA","Novo","110"
"4456","HRVATSKI JEZIK (VJEDI) : udžbenik iz hrvatskoga jezika za treći razred četverogodišnjih strukovnih škola","Snježana Zrinjan","udžbenik","3.","ALFA","Novo","110"
"4457","HRVATSKI JEZIK (GLAGOLJU) : udžbenik iz hrvatskoga jezika za četvrti razred četverogodišnjih strukovnih škola","Nataša Sajko","udžbenik","4.","ALFA","Novo","110"
"1414","HRVATSKI JEZIK I KNJIŽEVNOST 1 : udžbenik za 1. razred četverogodišnjih strukovnih tehničkih škola","Dragutin Rosandić","udžbenik","1.","ŠK","","93"
"1415","HRVATSKI JEZIK I KNJIŽEVNOST 2 : udžbenik za 2. razred četverogodišnjih strukovnih tehničkih škola","Dragutin Rosandić","udžbenik","2.","ŠK","","93"
"1417","HRVATSKI JEZIK, JEZIČNO IZRAŽAVANJE I KNJIŽEVNOST 3 : udžbenik za 3. razred četverogodišnjih strukovnih škola","Jasna Šego, Jelena Vignjević, Marija Znika","udžbenik","3.","PROFIL","","81"
"1416","HRVATSKI JEZIK, JEZIČNO IZRAŽAVANJE I KNJIŽEVNOST 3 : radna bilježnica za 3. razred četverogodišnjih strukovnih škola","Jasna Šego, Jelena Vignjević","radna bilježnica","3.","PROFIL","","30"
"1418","HRVATSKI JEZIK I KNJIŽEVNOST 3 : udžbenik za 3. razred četverogodišnjih strukovnih tehničkih škola","Dragutin Rosandić","udžbenik","3.","ŠK","","93"
"1420","HRVATSKI JEZIK, JEZIČNO IZRAŽAVANJE I KNJIŽEVNOST 4 : udžbenik za 4. razred četverogodišnjih strukovnih škola","Lana Hudeček, Blanka Mesić, Milica Mihaljević, Josip Pilić","udžbenik","4.","PROFIL","","81"
"1419","HRVATSKI JEZIK, JEZIČNO IZRAŽAVANJE I KNJIŽEVNOST 4 : radna bilježnica za 4. razred četverogodišnjih strukovnih škola","Lana Hudeček, Blanka Mesić, Milica Mihaljević, Josip Pilić","radna bilježnica","4.","PROFIL","","30"
"1421","HRVATSKI JEZIK I KNJIŽEVNOST 4 : udžbenik za 4. razred četverogodišnjih strukovnih tehničkih škola","Dragutin Rosandić","udžbenik","4.","ŠK","","93"
"2960","ČITANKA 1 : udžbenik hrvatskoga jezika za prvi razred trogodišnjih strukovnih škola","Dragica Dujmović-Markusi, Tanja Španjić","udžbenik","1.","PROFIL","","105"
"1379","ČITANKA 1 : udžbenik za 1. razred trogodišnjih strukovnih škola","Snježana Zbukvić-Ožbolt, Snježana Zrinjan","udžbenik","1.","ŠK","","103"
"3892","ČITANKA 2 : čitanka hrvatskoga jezika za drugi razred trogodišnjih strukovnih škola","Blanka Brkašić, Gordana Potnar-Matković, Tanja Španjić","udžbenik","2.","PROFIL","","97"
"1381","ČITANKA 2 : udžbenik za 2. razred trogodišnjih strukovnih škola","Snježana Zrinjan","udžbenik","2.","ŠK","","103"
"2980","ČITANKA 3 : udžbenik hrvatskoga jezika za treći razred trogodišnjih strukovnih škola","Vesna Prepelić-Đuričković","udžbenik","3.","PROFIL","","105"
"1383","ČITANKA 3 : udžbenik za 3. razred trogodišnjih strukovnih škola","Snježana Zbukvić-Ožbolt, Snježana Zrinjan","udžbenik","3.","ŠK","","103"
"2969","HRVATSKI JEZIK 1 : udžbenik hrvatskoga jezika za prvi razred trogodišnjih strukovnih škola","Vesna Kajganić, Vedrana Močnik","udžbenik","1.","PROFIL","","72"
"2968","HRVATSKI JEZIK 1 : radna bilježnica iz hrvatskoga jezika za prvi razred trogodišnjih strukovnih škola","Vesna Kajganić, Vedrana Močnik","radna bilježnica","1.","PROFIL","","35"
"1385","HRVATSKI JEZIK 1 : udžbenik za 1. razred trogodišnje strukovne škole","Snježana Zrinjan","udžbenik","1.","ŠK","","74"
"1384","HRVATSKI JEZIK 1 : radna bilježnica za 1. razred trogodišnje strukovne škole","Snježana Zrinjan","radna bilježnica","1.","ŠK","","39"
"2978","HRVATSKI JEZIK 2 : udžbenik hrvatskoga jezika za drugi razred trogodišnjih strukovnih škola","Mirjana Bogdanović, Vedrana Močnik","udžbenik","2.","PROFIL","","72"
"2977","HRVATSKI JEZIK 2 : radna bilježnica iz hrvatskoga jezika za drugi razred trogodišnjih strukovnih škola","Mirjana Bogdanović, Vedrana Močnik","radna bilježnica","2.","PROFIL","","35"
"1387","HRVATSKI JEZIK 2 : udžbenik za 2. razred trogodišnje strukovne škole","Snježana Zrinjan","udžbenik","2.","ŠK","","74"
"1386","HRVATSKI JEZIK 2 : radna bilježnica za 2. razred trogodišnje strukovne škole","Snježana Zrinjan","radna bilježnica","2.","ŠK","","39"
"2986","HRVATSKI JEZIK 3 : udžbenik hrvatskoga jezika za treći razred trogodišnjih strukovnih škola","Vedrana Močnik","udžbenik","3.","PROFIL","","72"
"2985","HRVATSKI JEZIK 3 : radna bilježnica iz hrvatskoga jezika za treći razred trogodišnjih strukovnih škola","Vedrana Močnik","radna bilježnica","3.","PROFIL","","35"
"1389","HRVATSKI JEZIK 3 : udžbenik za 3. razred trogodišnje strukovne škole","Snježana Zrinjan","udžbenik","3.","ŠK","","74"
"1388","HRVATSKI JEZIK 3 : radna bilježnica za 3. razred trogodišnje strukovne škole","Snježana Zrinjan","radna bilježnica","3.","ŠK","","39"
"5346","HRVATSKI JEZIK I KNJIŽEVNOST 1 : integrirani udžbenik hrvatskog jezika i književnosti u prvom razredu trogodišnje srednje strukovne škole","Andreja Jureković Perković, Marija Matković","udžbenik","1.","ŠK","Novo","119"
"5347","HRVATSKI JEZIK I KNJIŽEVNOST 1 : radna bilježnica za hrvatski jezik i književnost u prvom razredu trogodišnje srednje strukovne škole","Andreja Jureković Perković, Marija Matković","radna bilježnica","1.","ŠK","Novo","49"
"5348","HRVATSKI JEZIK I KNJIŽEVNOST 2 : integrirani udžbenik hrvatskog jezika i književnosti u drugom razredu trogodišnje srednje strukovne škole","Andreja Jureković Perković, Marija Matković","udžbenik","2.","ŠK","Novo","119"
"5349","HRVATSKI JEZIK I KNJIŽEVNOST 2 : radna bilježnica za hrvatski jezik i književnost u drugom razredu trogodišnje srednje strukovne škole","Andreja Jureković Perković, Marija Matković","radna bilježnica","2.","ŠK","Novo","49"
"5350","HRVATSKI JEZIK I KNJIŽEVNOST 3 : integrirani udžbenik hrvatskog jezika i književnosti u trećem razredu trogodišnje srednje strukovne škole","Andreja Jureković Perković, Marija Matković","udžbenik","3.","ŠK","Novo","119"
"5351","HRVATSKI JEZIK I KNJIŽEVNOST 3 : radna bilježnica za hrvatski jezik i književnost u trećem razredu trogodišnje srednje strukovne škole","Andreja Jureković Perković, Marija Matković","radna bilježnica","3.","ŠK","Novo","49"
"5455","HRVATSKI JEZIK I KNJIŽEVNOST 1 : integrirani udžbenik za 1. razred srednje medicinske škole","Dubravka Bouša, Marija Gazzari, Žarko Gazzari","udžbenik","1.","ŠK","Novo","119"
"5456","HRVATSKI JEZIK I KNJIŽEVNOST 1 : radna bilježnica uz integrirani udžbenik za 1. razred srednje medicinske škole","Dubravka Bouša, Marija Gazzari, Žarko Gazzari","radna bilježnica","1.","ŠK","Novo","49"
"5457","HRVATSKI JEZIK I KNJIŽEVNOST 2 : integrirani udžbenik za 2. razred srednje medicinske škole","Dubravka Bouša, Marija Gazzari, Žarko Gazzari","udžbenik","2.","ŠK","Novo","119"
"5458","HRVATSKI JEZIK I KNJIŽEVNOST 2 : radna bilježnica uz integrirani udžbenik za 2. razred srednje medicinske škole","Dubravka Bouša, Marija Gazzari, Žarko Gazzari","radna bilježnica","2.","ŠK","Novo","49"
